white,black,outcome,white_elo,black_elo,white_id,black_id
chesstoday,drnykterstein,1.0,2854,3132,4,6
drnykterstein,rebeccaharris,1.0,3125,2959,6,20
drnykterstein,ohanyaneminchess,1.0,3122,2721,6,17
chessmaster2006,drnykterstein,0.0,2821,3118,3,6
drnykterstein,hitter1999,1.0,3112,2810,6,8
riquelme93,drnykterstein,0.0,2662,3107,21,6
drnykterstein,rebeccaharris,0.5,3113,2958,6,20
drnykterstein,chesstoday,1.0,3106,2873,6,4
drnykterstein,dr_xstranger,1.0,3110,2753,6,5
drnykterstein,chesstoday,1.0,3103,2887,6,4
angelitort,drnykterstein,0.0,2827,3098,1,6
drnykterstein,dr_xstranger,1.0,3092,2747,6,5
angelitort,drnykterstein,0.0,2831,3081,1,6
drnykterstein,hitter1999,1.0,3074,2834,6,8
drnykterstein,kontrajako,1.0,3051,2950,6,9
chesstoday,drnykterstein,0.0,2886,3040,4,6
drnykterstein,riquelme93,1.0,3035,2676,6,21
drnykterstein,ohanyaneminchess,1.0,3029,2722,6,17
rasulovvugar,drnykterstein,0.0,2744,3022,19,6
chesstoday,drnykterstein,1.0,2888,3094,4,6
drnykterstein,ohanyaneminchess,1.0,3088,2743,6,17
dr_xstranger,drnykterstein,0.0,2735,3082,5,6
rasulovvugar,drnykterstein,1.0,2734,3137,19,6
drnykterstein,ohanyaneminchess,1.0,3131,2755,6,17
kontrajako,drnykterstein,1.0,2948,3177,9,6
drnykterstein,rasulovvugar,1.0,3172,2732,6,19
night-king96,drnykterstein,0.0,2844,3164,15,6
drnykterstein,kontrajako,0.0,3217,2924,6,9
drnykterstein,chessmaster2006,1.0,3211,2795,6,3
dr_xstranger,drnykterstein,0.0,2664,3198,5,6
drnykterstein,kyart2,1.0,3212,2869,6,11
kyart2,drnykterstein,0.0,2871,3209,11,6
drnykterstein,kyart2,1.0,3207,2873,6,11
kyart2,drnykterstein,0.5,2868,3214,11,6
drnykterstein,kyart2,1.0,3212,2869,6,11
kyart2,drnykterstein,0.0,2872,3209,11,6
drnykterstein,kyart2,1.0,3207,2874,6,11
kyart2,drnykterstein,0.0,2876,3204,11,6
drnykterstein,kyart2,0.0,3221,2861,6,11
kyart2,drnykterstein,0.0,2863,3219,11,6
drnykterstein,kyart2,1.0,3217,2865,6,11
kyart2,drnykterstein,0.0,2867,3214,11,6
drnykterstein,may6enexttime,1.0,3212,2974,6,12
may6enexttime,drnykterstein,0.0,2977,3209,12,6
drnykterstein,may6enexttime,1.0,3207,2979,6,12
may6enexttime,drnykterstein,0.0,2982,3204,12,6
drnykterstein,may6enexttime,1.0,3202,2984,6,12
may6enexttime,drnykterstein,0.0,2987,3199,12,6
drnykterstein,may6enexttime,1.0,3196,2990,6,12
may6enexttime,drnykterstein,0.0,2992,3193,12,6
drnykterstein,may6enexttime,1.0,3191,2995,6,12
may6enexttime,drnykterstein,0.0,2998,3188,12,6
drnykterstein,feokl1995,1.0,3184,3054,6,7
feokl1995,drnykterstein,1.0,3045,3192,7,6
drnykterstein,feokl1995,0.0,3200,3037,6,7
feokl1995,drnykterstein,0.0,3040,3197,7,6
drnykterstein,feokl1995,1.0,3193,3044,6,7
feokl1995,drnykterstein,1.0,3035,3202,7,6
drnykterstein,feokl1995,0.5,3204,3032,6,7
feokl1995,drnykterstein,0.0,3036,3201,7,6
drnykterstein,feokl1995,0.0,3210,3026,6,7
feokl1995,drnykterstein,0.0,3030,3207,7,6
drnykterstein,feokl1995,1.0,3203,3033,6,7
feokl1995,drnykterstein,1.0,3023,3213,7,6
drnykterstein,feokl1995,1.0,3209,3027,6,7
feokl1995,drnykterstein,0.0,3030,3206,7,6
nihalsarin2004,night-king96,1.0,2927,2832,16,15
kontrajako,nihalsarin2004,0.5,2855,2928,9,16
nihalsarin2004,penguingim1,0.5,2928,2764,16,18
night-king96,nihalsarin2004,0.0,2828,2924,15,16
nihalsarin2004,angelitort,0.0,2926,2830,16,1
night-king96,nihalsarin2004,0.0,2845,2928,15,16
nihalsarin2004,kontrajako,0.0,2928,2819,16,9
vladimirovich9000,nihalsarin2004,0.0,2881,2918,25,16
nihalsarin2004,night-king96,1.0,2912,2832,16,15
penguingim1,nihalsarin2004,0.0,2797,2912,18,16
kontrajako,nihalsarin2004,0.5,2827,2908,9,16
vladimirovich9000,nihalsarin2004,0.0,2900,2895,25,16
kontrajako,nihalsarin2004,0.0,2834,2888,9,16
