white,black,outcome,white_elo,black_elo
chesstoday,drnykterstein,1.0,2854,3132
drnykterstein,rebeccaharris,1.0,3125,2959
drnykterstein,ohanyaneminchess,1.0,3122,2721
chessmaster2006,drnykterstein,0.0,2821,3118
drnykterstein,hitter1999,1.0,3112,2810
riquelme93,drnykterstein,0.0,2662,3107
drnykterstein,rebeccaharris,0.5,3113,2958
drnykterstein,chesstoday,1.0,3106,2873
drnykterstein,dr_xstranger,1.0,3110,2753
drnykterstein,chesstoday,1.0,3103,2887
angelitort,drnykterstein,0.0,2827,3098
drnykterstein,dr_xstranger,1.0,3092,2747
angelitort,drnykterstein,0.0,2831,3081
drnykterstein,hitter1999,1.0,3074,2834
drnykterstein,kontrajako,1.0,3051,2950
chesstoday,drnykterstein,0.0,2886,3040
drnykterstein,riquelme93,1.0,3035,2676
drnykterstein,ohanyaneminchess,1.0,3029,2722
rasulovvugar,drnykterstein,0.0,2744,3022
chesstoday,drnykterstein,1.0,2888,3094
drnykterstein,ohanyaneminchess,1.0,3088,2743
dr_xstranger,drnykterstein,0.0,2735,3082
rasulovvugar,drnykterstein,1.0,2734,3137
drnykterstein,ohanyaneminchess,1.0,3131,2755
kontrajako,drnykterstein,1.0,2948,3177
drnykterstein,rasulovvugar,1.0,3172,2732
night-king96,drnykterstein,0.0,2844,3164
drnykterstein,kontrajako,0.0,3217,2924
drnykterstein,chessmaster2006,1.0,3211,2795
dr_xstranger,drnykterstein,0.0,2664,3198
drnykterstein,kyart2,1.0,3212,2869
kyart2,drnykterstein,0.0,2871,3209
drnykterstein,kyart2,1.0,3207,2873
kyart2,drnykterstein,0.5,2868,3214
drnykterstein,kyart2,1.0,3212,2869
kyart2,drnykterstein,0.0,2872,3209
drnykterstein,kyart2,1.0,3207,2874
kyart2,drnykterstein,0.0,2876,3204
drnykterstein,kyart2,0.0,3221,2861
kyart2,drnykterstein,0.0,2863,3219
drnykterstein,kyart2,1.0,3217,2865
kyart2,drnykterstein,0.0,2867,3214
drnykterstein,may6enexttime,1.0,3212,2974
may6enexttime,drnykterstein,0.0,2977,3209
drnykterstein,may6enexttime,1.0,3207,2979
may6enexttime,drnykterstein,0.0,2982,3204
drnykterstein,may6enexttime,1.0,3202,2984
may6enexttime,drnykterstein,0.0,2987,3199
drnykterstein,may6enexttime,1.0,3196,2990
may6enexttime,drnykterstein,0.0,2992,3193
drnykterstein,may6enexttime,1.0,3191,2995
may6enexttime,drnykterstein,0.0,2998,3188
drnykterstein,feokl1995,1.0,3184,3054
feokl1995,drnykterstein,1.0,3045,3192
drnykterstein,feokl1995,0.0,3200,3037
feokl1995,drnykterstein,0.0,3040,3197
drnykterstein,feokl1995,1.0,3193,3044
feokl1995,drnykterstein,1.0,3035,3202
drnykterstein,feokl1995,0.5,3204,3032
feokl1995,drnykterstein,0.0,3036,3201
drnykterstein,feokl1995,0.0,3210,3026
feokl1995,drnykterstein,0.0,3030,3207
drnykterstein,feokl1995,1.0,3203,3033
feokl1995,drnykterstein,1.0,3023,3213
drnykterstein,feokl1995,1.0,3209,3027
feokl1995,drnykterstein,0.0,3030,3206
nihalsarin2004,night-king96,1.0,2927,2832
kontrajako,nihalsarin2004,0.5,2855,2928
nihalsarin2004,penguingim1,0.5,2928,2764
night-king96,nihalsarin2004,0.0,2828,2924
nihalsarin2004,angelitort,0.0,2926,2830
night-king96,nihalsarin2004,0.0,2845,2928
nihalsarin2004,kontrajako,0.0,2928,2819
vladimirovich9000,nihalsarin2004,0.0,2881,2918
nihalsarin2004,night-king96,1.0,2912,2832
penguingim1,nihalsarin2004,0.0,2797,2912
kontrajako,nihalsarin2004,0.5,2827,2908
vladimirovich9000,nihalsarin2004,0.0,2900,2895
kontrajako,nihalsarin2004,0.0,2834,2888
vladimirovich9000,nihalsarin2004,1.0,2904,2890
nihalsarin2004,night-king96,0.5,2892,2813
nihalsarin2004,vladimirovich9000,1.0,2882,2920
nihalsarin2004,penguingim1,0.0,2902,2764
night-king96,nihalsarin2004,1.0,2813,2903
nihalsarin2004,chessmaster2006,1.0,2895,2782
nihalsarin2004,night-king96,1.0,2901,2818
ohanyaneminchess,nihalsarin2004,0.0,2658,2891
nihalsarin2004,shant7777777,0.0,2880,2900
rasulovvugar,nihalsarin2004,0.5,2701,2903
zhigalko_sergei,nihalsarin2004,0.5,2806,2905
mitrabha,nihalsarin2004,1.0,2776,2927
nihalsarin2004,night-king96,1.0,2920,2860
nihalsarin2004,night-king96,1.0,2925,2861
nihalsarin2004,kostik_mostik,0.5,2924,2769
nihalsarin2004,mitrabha,0.0,2935,2749
nihalsarin2004,kontrajako,0.5,2935,2833
kontrajako,nihalsarin2004,1.0,2830,2950
nihalsarin2004,hitter1999,1.0,2945,2829
hitter1999,nihalsarin2004,0.0,2847,2926
penguingim1,shant7777777,1.0,2739,2837
penguingim1,angelitort,0.0,2735,2802
meneermandje,penguingim1,0.0,2596,2773
penguingim1,meneermandje,0.5,2778,2593
chessmaster2006,penguingim1,0.0,2778,2772
rebeccaharris,penguingim1,0.0,2815,2766
penguingim1,tamojerry,0.0,2773,2666
alireza2003,penguingim1,1.0,2900,2783
penguingim1,rebeccaharris,1.0,2777,2793
chessmaster2006,penguingim1,1.0,2781,2783
penguingim1,tamojerry,0.0,2791,2615
chessmaster2006,penguingim1,1.0,2754,2799
penguingim1,angelitort,0.0,2818,2825
tamojerry,penguingim1,1.0,2567,2828
penguingim1,shant7777777,1.0,2819,2854
angelitort,penguingim1,0.5,2828,2814
riquelme93,penguingim1,1.0,2759,2811
penguingim1,ohanyaneminchess,0.5,2814,2667
penguingim1,angelitort,0.0,2824,2816
